decile,sample_cnt,winrate,avg_ret,avg_excess_ret,sharpe,information_ratio
1,7680,0.4973958333333333,0.0046109394,0.004111455090063861,0.10971037,2.734366618509707
2,7191,0.4883882631066611,0.0043979236,0.0038774945633509262,0.094460934,2.703288872341772
3,7113,0.4690004217629692,0.0023178933,0.0018037177289519164,0.046059277,1.1656414989010986
4,7204,0.46862853970016655,0.0026950873,0.002170701200832059,0.050672222,1.026371544886961
5,7309,0.47284170201121906,0.004268674,0.003761038710682463,0.07696464,2.1164760267459637
6,6984,0.4468785796105384,0.0010144511,0.0004799992543327023,0.017949304,-0.24386401398896154
7,7117,0.4472390051988197,0.0011936321,0.0006779507264153621,0.020174189,-0.2906695269400465
8,7200,0.43680555555555556,0.00014754827,-0.00037535486775454926,0.0023759995,-0.5868209319558931
9,7104,0.40653153153153154,-0.002551584,-0.0030632440764059546,-0.038176775,-1.7305572761683812
10,6611,0.3796702465587657,-0.0053308867,-0.00588933496627218,-0.06965563,-2.3211025259545464
